date,World
1,557
2,655
3,941
4,1433
5,2118
6,2927
7,5578
8,6167
9,8235
10,9927
11,12038
12,16787
13,19887
14,23898
15,27643
16,30803
17,34396
18,37130
19,40160
20,42769
21,44811
22,45229
23,60382
24,66909
25,69052
26,71235
27,73270
28,75152
29,75652
30,76212
31,76841
32,78602
33,78982
34,79546
35,80399
36,81376
37,82736
38,84122
39,86013
40,88394
41,90377
42,92971
43,95279
44,98090
45,102003
46,106098
47,110047
48,114219
49,119041
50,126702
51,132492
52,146876
53,157950
54,169219
55,184027
56,199970
57,219535
58,246584
59,277359
60,309350
61,344205
62,387040
63,428219
64,479220
65,542097
66,607138
67,674418
68,733655
69,798949
70,875794
71,958602
72,1041662
73,1125221
74,1183584
75,1256176
76,1329331
77,1399162
78,1482540
79,1569554
80,1655088
81,1729371
82,1849067
83,1919809
84,2003820
85,2080934
86,2176465
87,2264462
88,2341702
89,2418307
90,2494325
91,2570074
92,2651321
93,2735570
94,2819666
95,2901925
96,2973513
97,3043705
98,3119245
99,3196355
100,3279850
101,3368226
102,3447426
103,3523799
104,3601488
105,3681990
106,3772018
107,3860724
108,3951003
109,4036226
110,4111202
111,4187833
112,4272324
113,4357304
114,4453535
115,4549267
116,4643706
117,4721728
118,4810895
119,4907670
120,5009548
121,5116192
122,5222614
123,5327418
124,5421629
125,5508346
126,5602313
127,5705075
128,5824358
129,5945261
130,6081776
131,6188184
132,6284179
133,6406143
134,6520392
135,6651336
136,6782559
137,6916296
138,7028659
139,7131156
140,7256216
141,7391321
142,7529341
143,7658106
144,7793395
145,7925679
146,8045337
147,8187421
148,8331167
149,8472230
150,8652145
151,8809593
152,8937295
153,9076656
154,9243465
155,9416059
156,9594440
157,9786037
158,9964169
159,10128040
160,10283387
161,10457929
162,10675536
163,10885481
164,11086866
165,11280675
166,11464678
167,11628653
168,11840015
169,12054174
170,12281001
171,12513675
172,12730157
173,12922431
174,13113875
175,13336063
176,13567531
177,13818843
178,14061585
179,14297763
180,14511197
181,14718313
182,14951994
183,15231862
184,15514716
185,15795790
186,16049844
187,16262880
188,16489410
189,16742195
190,17033923
191,17314023
192,17604767
193,17853105
194,18084097
195,18290572
196,18548514
197,18825089
198,19110291
199,19392530
200,19651048
201,19875731
202,20101760
203,20359330
204,20635977
205,20925193
206,21228941
207,21476649
208,21691119
209,21898851
210,22157107
211,22436697
212,22709251
213,22970456
214,23234707
215,23440856
216,23666124
217,23910125
218,24193918
219,24477813
220,24761440
221,25025233
222,25246198
223,25509089
224,25774014
225,26057518
226,26338937
227,26652953
228,26922944
229,27153409
230,27371291
231,27613490
232,27898312
233,28198188
234,28519558
235,28806136
236,29048855
237,29312607
238,29598069
239,29902604
240,30217490
241,30543411
242,30835530
243,31087644
244,31363730
245,31648244
246,31924336
247,32277373
248,32608243
249,32896685
250,33148076
251,33402856
252,33685524
253,34011734
254,34330037
255,34627903
256,34959947
257,35221344
258,35522367
259,35848886
260,36199883
261,36561210
262,36922107
263,37279208
264,37566120
265,37857886
266,38177145
267,38559479
268,38966463
269,39378234
270,39750891
271,40067454
272,40454664
273,40843666
274,41288556
275,41761275
276,42258073
277,42714857
278,43075510
279,43561921
280,44032154
281,44544026
282,45094441
283,45665496
284,46142261
285,46604645
286,47167772
287,47721517
288,48233069
289,48829627
290,49474481
291,50071373
292,50555347
293,51056879
294,51616256
295,52264862
296,52914405
297,53566478
298,54161448
299,54635389
300,55169846
301,55781066
302,56408169
303,57061754
304,57730498
305,58318062
306,58806043
307,59331362
308,59921623
309,60557847
310,61140322
311,61827470
312,62413501
313,62902084
314,63410725
315,64022822
316,64674220
317,65368548
318,66051824
319,66693987
320,67232741
321,67752760
322,68396288
323,69066199
324,70564412
325,71268909
326,71903759
327,72434597
328,72959984
329,73596190
330,74329916
331,75069498
332,75789960
333,76401213
334,76934686
335,77483983
336,78134244
337,78829366
338,79496006
339,79961556
340,80474158
341,80912611
342,81408934
343,82073362
344,82834592
345,83559601
346,84092619
347,84718978
348,85251774
349,85805892
350,86546014
351,87329386
352,88210223
353,89013445
354,89774439
355,90363573
356,90983503
357,91689011
358,92437399
359,93192627
360,93959814
361,94598958
362,95128170
363,95643236
364,96251662
365,96944599
366,97600922
367,98259983
368,98828107
369,99273761
370,99771101
371,100327339
372,100925700
373,101539951
374,102130394
375,102645724
376,103027363
377,103474137
378,103932094
379,104454075
380,104920982
381,105456410
382,105828535
383,106226613
384,106542506
385,106970539
386,107406280
387,107847745
388,108276434
389,108649735
390,108943585
391,109226751
392,109577771
393,109973326
394,110376842
395,110789361
396,111159816
397,111474262
398,111762700
399,112151553
400,112596489
401,113043967
402,113487006
403,113876236
404,114179745
405,114485609
406,114795897
407,115237039
408,115690088
409,116137142
410,116547675
411,116915987
412,117214710
413,117629375
414,118096454
415,118573350
416,119062678
417,119516794
418,119877179
419,120226080
420,120699093
421,121238378
422,121792101
423,122353780
424,122852600
425,123275915
426,123692736
427,124206981
428,124840562
429,125491912
430,126133263
431,126717855
432,127187813
433,127646218
434,128214491
435,128897696
436,129609483
437,130243222
438,130772665
439,131325468
440,131815052
441,132419139
442,133103485
443,133943335
444,134691380
445,135355887
446,136046628
447,136663253
448,137442820
449,138259845
450,139076606
451,139931461
452,140719503
453,141404998
454,142098420
455,142952845
456,143842820
457,144742575
458,145646322
459,146467262
460,147189618
461,147872402
462,148716872
463,149622864
464,150520466
465,151399480
466,152196159
467,152870507
468,153552097
469,154359533
470,155200757
471,156070729
472,156902287
473,157688833
474,158330372
475,158952301
476,159690774
477,160450873
478,161176148
479,161894208
480,162521726
481,163069932
